Perturb Freq,Filter Size,Mu,Psi,Is SVD,Overshoot,Convergence Time
13.0,400,0.008,0.001,False,1000.0,89.98076884552975
13.0,400,0.007,0.1,False,16.9772621296028,57.17482321360603
13.0,400,0.007,0.01,True,1000.0,90.0
13.0,400,0.007,0.001,True,1000.0,90.0
13.0,400,0.007,0.0001,True,1000.0,90.0
13.0,400,0.008,0.01,False,1000.0,89.98076884552975
13.0,400,0.008,0.001,True,1000.0,90.0
13.0,400,0.007,0.1,True,1000.0,90.0
13.0,400,0.008,0.0001,True,1000.0,90.0
13.0,400,0.009000000000000001,0.0001,True,1000.0,90.0
13.0,400,0.008,0.1,False,1000.0,89.98076884552975
13.0,400,0.009000000000000001,0.0001,False,1000.0,90.0
13.0,400,0.009000000000000001,0.001,True,1000.0,90.0
13.0,400,0.009000000000000001,0.001,False,1000.0,90.0
13.0,400,0.009000000000000001,0.1,True,1000.0,90.0
13.0,400,0.009000000000000001,0.1,False,1000.0,90.0
13.0,400,0.008,0.01,True,1000.0,90.0
13.0,400,0.009000000000000001,0.01,True,1000.0,90.0
13.0,400,0.009000000000000001,0.01,False,1000.0,90.0
13.0,400,0.01,0.0001,False,1000.0,90.0
13.0,400,0.01,0.001,False,1000.0,90.0
13.0,400,0.02,0.0001,False,1000.0,90.0
13.0,400,0.008,0.1,True,1000.0,90.0
13.0,400,0.01,0.01,False,1000.0,90.0
13.0,400,0.02,0.001,False,1000.0,90.0
13.0,400,0.02,0.01,False,1000.0,90.0
13.0,400,0.01,0.1,False,1000.0,90.0
13.0,400,0.02,0.0001,True,1000.0,90.0
13.0,400,0.01,0.0001,False,1000.0,90.0
13.0,400,0.02,0.001,True,1000.0,90.0
13.0,400,0.03,0.001,False,1000.0,90.0
13.0,400,0.03,0.0001,False,1000.0,90.0
13.0,400,0.01,0.001,False,1000.0,90.0
13.0,400,0.01,0.0001,True,1000.0,90.0
13.0,400,0.02,0.01,True,1000.0,90.0
13.0,400,0.03,0.1,False,1000.0,90.0
13.0,400,0.02,0.1,False,1000.0,90.0
13.0,400,0.03,0.01,False,1000.0,90.0
13.0,400,0.01,0.001,True,1000.0,90.0
13.0,400,0.04,0.001,False,1000.0,90.0
13.0,400,0.01,0.1,True,1000.0,90.0
13.0,400,0.03,0.0001,True,1000.0,90.0
13.0,400,0.04,0.0001,False,1000.0,90.0
13.0,400,0.02,0.1,True,1000.0,90.0
13.0,400,0.01,0.01,False,1000.0,90.0
13.0,400,0.01,0.01,True,1000.0,90.0
13.0,400,0.04,0.01,False,1000.0,90.0
13.0,400,0.01,0.0001,True,1000.0,90.0
13.0,400,0.03,0.001,True,1000.0,90.0
13.0,400,0.05,0.0001,False,1000.0,90.0
13.0,400,0.01,0.1,False,1000.0,90.0
13.0,400,0.04,0.1,False,1000.0,90.0
13.0,400,0.05,0.01,False,1000.0,90.0
13.0,400,0.05,0.001,False,1000.0,90.0
13.0,400,0.03,0.01,True,1000.0,90.0
13.0,400,0.03,0.1,True,1000.0,90.0
13.0,400,0.04,0.0001,True,1000.0,90.0
13.0,400,0.05,0.1,False,1000.0,90.0
13.0,400,0.06,0.0001,False,1000.0,90.0
13.0,400,0.06,0.001,False,1000.0,90.0
13.0,400,0.04,0.001,True,1000.0,90.0
13.0,400,0.01,0.001,True,1000.0,90.0
13.0,400,0.04,0.01,True,1000.0,90.0
13.0,400,0.06,0.01,False,1000.0,90.0
13.0,400,0.04,0.1,True,1000.0,90.0
13.0,400,0.06,0.1,False,1000.0,90.0
13.0,400,0.01,0.01,True,1000.0,90.0
13.0,400,0.05,0.0001,True,1000.0,90.0
13.0,400,0.07,0.0001,False,1000.0,90.0
13.0,400,0.07,0.001,False,1000.0,90.0
13.0,400,0.05,0.01,True,1000.0,90.0
13.0,400,0.05,0.1,True,1000.0,90.0
13.0,400,0.07,0.01,False,1000.0,90.0
13.0,400,0.05,0.001,True,1000.0,90.0
13.0,400,0.06,0.0001,True,1000.0,90.0
13.0,400,0.06,0.01,True,1000.0,90.0
13.0,400,0.07,0.1,False,1000.0,90.0
13.0,400,0.06,0.001,True,1000.0,90.0
13.0,400,0.01,0.1,True,1000.0,90.0
13.0,400,0.06,0.1,True,1000.0,90.0
13.0,400,0.08,0.01,False,1000.0,90.0
13.0,400,0.07,0.0001,True,1000.0,90.0
13.0,400,0.08,0.0001,False,1000.0,90.0
13.0,400,0.08,0.001,False,1000.0,90.0
13.0,400,0.08,0.1,False,1000.0,90.0
13.0,400,0.07,0.001,True,1000.0,90.0
13.0,400,0.07,0.01,True,1000.0,90.0
13.0,400,0.07,0.1,True,1000.0,90.0
13.0,400,0.09,0.0001,False,1000.0,90.0
13.0,400,0.09,0.01,False,1000.0,90.0
13.0,400,0.09,0.001,False,1000.0,90.0
13.0,400,0.09,0.1,False,1000.0,90.0
13.0,400,0.08,0.0001,True,1000.0,90.0
13.0,400,0.1,0.0001,False,1000.0,90.0
13.0,400,0.08,0.01,True,1000.0,90.0
